canonical_smiles,Solvent,source_row,Molecule,SMILES,λem (nm),Solvent_raw,doi
c1cnc2c(Nc3cccc4nsnc34)cccc2c1,DMSO,2,1,c1cnc2c(Nc3cccc4nsnc34)cccc2c1,620.0,DMSO,https://doi.org/10.1016/j.snb.2020.128998
c1cnc2c(Nc3cccc4nsnc34)cccc2c1,H2O,3,2,c1cnc2c(Nc3cccc4nsnc34)cccc2c1,565.0,H2O,https://doi.org/10.1016/j.snb.2020.128998
c1cnc2c(Nc3cccc4nsnc34)cccc2c1,ACOET,4,3,c1cnc2c(Nc3cccc4nsnc34)cccc2c1,575.0,AcOEt,https://doi.org/10.1016/j.snb.2020.128998
c1cnc2c(Nc3cccc4nsnc34)cccc2c1,DCM,5,4,c1cnc2c(Nc3cccc4nsnc34)cccc2c1,615.0,DCM,https://doi.org/10.1016/j.snb.2020.128998
c1cnc2c(Nc3cccc4nsnc34)cccc2c1,ACN,6,5,c1cnc2c(Nc3cccc4nsnc34)cccc2c1,615.0,ACN,https://doi.org/10.1016/j.snb.2020.128998
c1cnc2c(Nc3cccc4nsnc34)cccc2c1,TOL,7,6,c1cnc2c(Nc3cccc4nsnc34)cccc2c1,600.0,TOL,https://doi.org/10.1016/j.snb.2020.128998
c1cnc2c(Nc3cccc4nsnc34)cccc2c1,ETOH,8,7,c1cnc2c(Nc3cccc4nsnc34)cccc2c1,570.0,EtOH,https://doi.org/10.1016/j.snb.2020.128998
c1cnc2c(Nc3cccc4nsnc34)cccc2c1,CFM,9,8,c1cnc2c(Nc3cccc4nsnc34)cccc2c1,595.0,CFM,https://doi.org/10.1016/j.snb.2020.128998
c1cnc2c(Nc3cccc4nsnc34)cccc2c1,MEOH,10,9,c1cnc2c(Nc3cccc4nsnc34)cccc2c1,610.0,MeOH,https://doi.org/10.1016/j.snb.2020.128998
c1cnc2c(Nc3cccc4nsnc34)cccc2c1,DMF,11,10,c1cnc2c(Nc3cccc4nsnc34)cccc2c1,610.0,DMF,https://doi.org/10.1016/j.snb.2020.128998
c1cnc2c(Nc3cccc4nsnc34)cccc2c1,CHX,12,11,c1cnc2c(Nc3cccc4nsnc34)cccc2c1,533.0,CHX,https://doi.org/10.1016/j.snb.2020.128998
c1cnc2c(Nc3cccc4nsnc34)cccc2c1,HEX,13,12,c1cnc2c(Nc3cccc4nsnc34)cccc2c1,533.0,HEX,https://doi.org/10.1016/j.snb.2020.128998
c1cn(-c2ccc(-n3cc[nH+]c3)c3nsnc23)c[nH+]1,DMSO,14,13,c1cn(-c2ccc(-n3cc[nH+]c3)c3nsnc23)c[nH+]1,526.0,DMSO,https://doi.org/10.1016/j.snb.2020.128530
c1cn(-c2ccc(-n3cc[nH+]c3)c3nsnc23)c[nH+]1,DMF,15,14,c1cn(-c2ccc(-n3cc[nH+]c3)c3nsnc23)c[nH+]1,501.0,DMF,https://doi.org/10.1016/j.snb.2020.128530
c1cn(-c2ccc(-n3cc[nH+]c3)c3nsnc23)c[nH+]1,H2O,16,15,c1cn(-c2ccc(-n3cc[nH+]c3)c3nsnc23)c[nH+]1,453.0,H2O,https://doi.org/10.1016/j.snb.2020.128530
c1cn(-c2ccc(-n3cc[nH+]c3)c3nsnc23)c[nH+]1,MEOH,17,16,c1cn(-c2ccc(-n3cc[nH+]c3)c3nsnc23)c[nH+]1,444.0,MeOH,https://doi.org/10.1016/j.snb.2020.128530
c1cn(-c2ccc(-n3cc[nH+]c3)c3nsnc23)c[nH+]1,ETOH,18,17,c1cn(-c2ccc(-n3cc[nH+]c3)c3nsnc23)c[nH+]1,525.0,EtOH,https://doi.org/10.1016/j.snb.2020.128530
C[n+]1ccn(-c2ccc(-n3cc[n+](C)c3)c3nsnc23)c1,DMSO,19,18,C[n+]1ccn(-c2ccc(-n3cc[n+](C)c3)c3nsnc23)c1,526.0,DMSO,https://doi.org/10.1016/j.snb.2020.128530
C[n+]1ccn(-c2ccc(-n3cc[n+](C)c3)c3nsnc23)c1,DMF,20,19,C[n+]1ccn(-c2ccc(-n3cc[n+](C)c3)c3nsnc23)c1,474.0,DMF,https://doi.org/10.1016/j.snb.2020.128530
C[n+]1ccn(-c2ccc(-n3cc[n+](C)c3)c3nsnc23)c1,H2O,21,20,C[n+]1ccn(-c2ccc(-n3cc[n+](C)c3)c3nsnc23)c1,453.0,H2O,https://doi.org/10.1016/j.snb.2020.128530
C[n+]1ccn(-c2ccc(-n3cc[n+](C)c3)c3nsnc23)c1,MEOH,22,21,C[n+]1ccn(-c2ccc(-n3cc[n+](C)c3)c3nsnc23)c1,453.0,MeOH,https://doi.org/10.1016/j.snb.2020.128530
C[n+]1ccn(-c2ccc(-n3cc[n+](C)c3)c3nsnc23)c1,ETOH,23,22,C[n+]1ccn(-c2ccc(-n3cc[n+](C)c3)c3nsnc23)c1,453.0,EtOH,https://doi.org/10.1016/j.snb.2020.128530
O=C(O)CN1CCN(c2ccc(N3CCN(C(=O)CO)C3)c3nsnc23)C1,DMSO,24,23,O=C(O)CN1CCN(c2ccc(N3CCN(C(=O)CO)C3)c3nsnc23)C1,450.0,DMSO,https://doi.org/10.1016/j.snb.2020.128530
O=C(O)CN1CCN(c2ccc(N3CCN(C(=O)CO)C3)c3nsnc23)C1,DMF,25,24,O=C(O)CN1CCN(c2ccc(N3CCN(C(=O)CO)C3)c3nsnc23)C1,401.0,DMF,https://doi.org/10.1016/j.snb.2020.128530
O=C(O)CN1CCN(c2ccc(N3CCN(C(=O)CO)C3)c3nsnc23)C1,H2O,26,25,O=C(O)CN1CCN(c2ccc(N3CCN(C(=O)CO)C3)c3nsnc23)C1,450.0,H2O,https://doi.org/10.1016/j.snb.2020.128530
O=C(O)CN1CCN(c2ccc(N3CCN(C(=O)CO)C3)c3nsnc23)C1,MEOH,27,26,O=C(O)CN1CCN(c2ccc(N3CCN(C(=O)CO)C3)c3nsnc23)C1,450.0,MeOH,https://doi.org/10.1016/j.snb.2020.128530
O=C(O)CN1CCN(c2ccc(N3CCN(C(=O)CO)C3)c3nsnc23)C1,ETOH,28,27,O=C(O)CN1CCN(c2ccc(N3CCN(C(=O)CO)C3)c3nsnc23)C1,450.0,EtOH,https://doi.org/10.1016/j.snb.2020.128530
c1cn(-c2ccc(-n3ccnc3)c3nsnc23)cn1,DMSO,29,28,c1cn(-c2ccc(-n3ccnc3)c3nsnc23)cn1,542.0,DMSO,https://doi.org/10.1016/j.snb.2020.128530
c1cn(-c2ccc(-n3ccnc3)c3nsnc23)cn1,DMF,30,29,c1cn(-c2ccc(-n3ccnc3)c3nsnc23)cn1,531.0,DMF,https://doi.org/10.1016/j.snb.2020.128530
c1cn(-c2ccc(-n3ccnc3)c3nsnc23)cn1,H2O,31,30,c1cn(-c2ccc(-n3ccnc3)c3nsnc23)cn1,430.0,H2O,https://doi.org/10.1016/j.snb.2020.128530
c1cn(-c2ccc(-n3ccnc3)c3nsnc23)cn1,MEOH,32,31,c1cn(-c2ccc(-n3ccnc3)c3nsnc23)cn1,473.0,MeOH,https://doi.org/10.1016/j.snb.2020.128530
c1cn(-c2ccc(-n3ccnc3)c3nsnc23)cn1,ETOH,33,32,c1cn(-c2ccc(-n3ccnc3)c3nsnc23)cn1,503.0,EtOH,https://doi.org/10.1016/j.snb.2020.128530
C(=Cc1ccc(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)c2nsnc12)c1ccc(N(c2ccccc2)c2ccccc2)cc1,TOL,34,33,C(=Cc1ccc(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)c2nsnc12)c1ccc(N(c2ccccc2)c2ccccc2)cc1,611.0,TOL,https://doi.org/10.1016/j.optmat.2013.12.047
C(=Cc1ccc(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)c2nsnc12)c1ccc(N(c2ccccc2)c2ccccc2)cc1,ACOET,35,34,C(=Cc1ccc(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)c2nsnc12)c1ccc(N(c2ccccc2)c2ccccc2)cc1,627.0,AcOEt,https://doi.org/10.1016/j.optmat.2013.12.047
